,A1644,A1795,A2029,A2142,A2255,A2319,A3158,A3266,A644,A85,RXC1825,ZW1215,joint
sigma_delta_I,0.36409900069236756,0.1509530735015869,0.11005265265703201,0.09419286251068115,0.019005149081349374,0.1487265682220459,0.13408895611763,0.296554206609726,0.1476881545782089,0.07045824229717254,0.17834055185317993,0.017892176359891893,0.14219605445861816
sigma_delta_II,0.21286448419094087,0.13358179032802583,0.0649128332734108,0.17858726739883424,0.016357679441571238,0.22372849643230439,0.06882373332977296,0.31091960430145266,0.041473694145679474,0.12320737034082413,0.2064815813302994,0.06367339462041856,0.21123867392539977
sigma_delta_III,0.13333602786064147,0.12281170457601548,0.08620401591062546,0.1426733648777008,0.019089728817343714,0.21412314713001251,0.16307895123958588,0.19502235054969788,0.2121088820695877,0.2045088964700699,0.13500944077968596,0.1397438931465149,0.21141634047031402
sigma_delta_IV,0.38489936470985414,0.3925932610034943,0.26575257420539855,0.35903199911117556,0.03849470555782318,0.2901929605007172,0.3093769073486328,0.6208027052879334,0.4003686261177063,0.2822430384159088,0.28005550980567934,0.1607166522741318,0.5189504885673523
sigma_delta_in_R_500,0.2779287362098694,0.15656382322311402,0.10773283690214157,0.15625276148319245,0.11713143348693848,0.36024368405342105,0.16798676073551178,0.27864994525909426,0.11089896619319915,0.10519822359085083,0.2672719955444336,0.04764960661530495,0.17017845392227174
ell_inj_I,0.12937494814395906,0.15856971800327302,0.362988350391388,0.0961812311410904,0.015468722470104697,0.10928195595741272,0.28182870864868165,0.19569036841392518,0.5649357628822327,0.15282559752464295,0.181436362862587,0.02031630739569664,0.18831120312213898
ell_inj_II,0.24922674894332886,0.27226490378379825,1.0029323339462282,0.27671900868415833,0.059250620454549804,0.21722058892250062,0.341688357591629,0.19246533393859863,0.4368763864040375,0.3469229745864868,0.423345160484314,0.48605175256729133,1.7940279150009157
ell_inj_III,0.25205632448196413,0.2972096085548401,0.5402030920982361,0.4726939356327057,0.01963183775544167,1.2022554683685303,0.30376981377601625,0.33688658595085147,0.6781922936439515,1.237070174217224,0.4306245028972626,0.5621101260185242,1.252446641921997
ell_inj_IV,0.12133400559425359,0.10139859110116958,0.7688308763504029,3.0029106521606446,0.028546677455306056,2.214067792892456,0.530865581035614,0.5652962040901184,0.1839355230331421,0.630987343788147,0.9844384932518007,0.4479257094860077,5.3131851387023925
ell_inj_in_R_500,0.20385930836200714,0.6983364772796631,0.1819361674785614,0.36640332579612733,0.31591112732887267,3.7726103115081786,0.6539508223533631,0.27055426836013796,0.17685444474220277,0.2951716339588165,0.4667264223098755,0.4535050272941589,0.426556396484375
alpha_I,3.14782395362854,2.358348331451416,2.77317099571228,3.858822908401489,1.2982887077331544,3.826247253417969,2.1753937721252443,4.252627182006836,5.03707139968872,2.4282408428192137,3.6396752834320067,0.5853205823898315,3.7960875415802002
alpha_II,3.080569896697998,5.030868701934814,3.0872637176513673,4.915484962463379,2.1720541095733648,3.931417217254639,2.7487951278686524,4.287045211791992,3.5239475440979007,3.4858585453033446,2.8640838623046876,3.197516288757324,3.538543996810913
alpha_III,3.311829710006714,2.4325500297546387,2.7583891487121583,4.126318035125732,0.6806018877029419,3.1671809482574464,3.1225781440734863,3.3605010223388674,3.433719501495361,2.6508923244476317,2.263057050704956,3.671882095336914,3.0262221336364745
alpha_IV,2.368492364883423,4.870762157440185,3.7517241287231444,2.9362478256225586,1.5241836738586427,3.4125595474243164,2.677877779006958,2.5060421562194826,3.2280982303619385,2.9527159976959227,3.346314582824707,3.114084053039551,2.8055365657806397
alpha_in_R_500,2.895935745239258,2.7413635444641113,2.3019510650634767,3.6325778007507323,2.631536512374878,2.9820033836364748,2.3935649013519287,3.885526180267334,2.6037757396698,3.0187255477905275,2.5499777030944824,3.654337863922119,3.5593651294708253
sqrt_C_I,1.0642217874526978,1.0113292837142944,1.0060376167297362,1.0044263696670532,1.000180583000183,1.0109993505477906,1.0089499235153199,1.043045735359192,1.0108470153808593,1.002479157447815,1.0157781887054442,1.000160059928894,1.010059299468994
sqrt_C_II,1.0224046945571899,1.0088826084136964,1.0021046447753905,1.0158216190338134,1.0001337337493896,1.0247215700149537,1.0023655939102172,1.047220573425293,1.0008596181869507,1.0075614547729492,1.0210948657989503,1.0020250844955445,1.0220673561096192
sqrt_C_III,1.0088500452041627,1.0075131416320802,1.003708643913269,1.0101265382766724,1.0001821327209472,1.0226674270629883,1.0132100582122803,1.0188394260406495,1.0222475957870483,1.020697727203369,1.0090726137161254,1.0097169494628906,1.0221041345596313
sqrt_C_IV,1.0715164613723756,1.074304141998291,1.0347098207473755,1.0624989557266236,1.0007406282424927,1.0412549686431884,1.04676362991333,1.1770284843444825,1.0771699333190918,1.039067392349243,1.0384754133224487,1.0128325891494752,1.1266363620758058
sqrt_C_in_R_500,1.0379038429260254,1.012181978225708,1.005786452293396,1.0121338176727295,1.0068364572525024,1.0629090404510497,1.0140115785598756,1.0380971765518188,1.0061304426193238,1.005518102645874,1.0351011276245117,1.0011345767974853,1.0143769979476929
M_I,0.227690891623497,0.09430261015892029,0.0688497593998909,0.058735828548669815,0.01196222148835659,0.09301794975996018,0.08399748504161834,0.1851053613424301,0.0926402735710144,0.043843941986560823,0.11177328824996949,0.01121177762746811,0.08775392234325409
M_II,0.13317747056484222,0.08364168494939804,0.04061390042304993,0.11123058438301087,0.010378338098526,0.13943248569965364,0.04268487632274628,0.19206769585609437,0.02592071384191513,0.07675166875123977,0.12912859797477722,0.03975766032934189,0.13063563883304596
M_III,0.08325871974229812,0.0773099321126938,0.053950469791889194,0.08912569552659988,0.012102220542728902,0.13320608019828797,0.10171360343694687,0.1216028305888176,0.13268981933593751,0.1280180084705353,0.0846709343791008,0.0870797711610794,0.13080888330936433
M_IV,0.24254662811756134,0.24067782521247863,0.16592716097831725,0.2242238712310791,0.02426407299935818,0.1815603756904602,0.1945255982875824,0.38754229187965394,0.24877254366874696,0.17700538158416748,0.1756827563047409,0.1009613385796547,0.3218809127807617
M_in_R_500,0.17321670055389404,0.09770268857479096,0.06698736965656281,0.09704552799463272,0.07305075764656067,0.22393548607826233,0.1053053742647171,0.17260750412940978,0.06918767750263215,0.06588059782981873,0.16829543232917785,0.02982719548046589,0.1036854162812233
P_NTH/P_TOT_I,2.82597430229187,0.49040731430053713,0.26131788253784183,0.1903959059715271,0.007887888215482235,0.4760327768325806,0.3910710537433625,1.8726465606689453,0.47615191459655765,0.10685550808906556,0.6894346761703491,0.0069950788654387,0.4265485000610352
P_NTH/P_TOT_II,0.9848167872428895,0.3874513590335846,0.09178010731935501,0.686237554550171,0.005927687603980303,1.0686804628372193,0.10240010470151902,2.025438461303711,0.037205796390771866,0.32777560830116276,0.9332366132736206,0.08853869646787643,0.9417991852760315
