,A1644,A1795,A2029,A2142,A2255,A2319,A3158,A3266,A644,A85,RXC1825,ZW1215,joint
sigma_delta_I,0.8150379967689514,0.27829622268676757,0.2642576336860657,0.1727481687068939,0.21254523277282714,0.29346566200256347,0.5591122150421142,0.7041205739974975,0.4522053551673889,0.13274151504039763,0.5234843015670776,0.29116821646690366,0.17275838017463685
sigma_delta_II,0.538360664844513,0.27675950169563296,0.13611571490764618,0.359137647151947,0.186128214597702,0.3514019703865051,0.19509493589401244,0.449601343870163,0.09069423198699951,0.20264549791812897,0.47507893323898315,0.1733151966333389,0.2609722661972046
sigma_delta_III,0.2701371026039123,0.4245127141475677,0.2621760189533234,0.25475381731987,0.5714164614677429,0.36221447348594665,0.3107806146144867,0.2885435605049133,0.5986576008796691,0.39810765147209165,0.7146041393280029,0.24700551927089692,0.26093042492866514
sigma_delta_IV,1.5179281902313233,0.45438227891921995,0.428400650024414,0.8172318339347839,1.065008916854858,0.6559543895721436,0.6530797743797302,0.9825933337211609,0.5774429941177368,0.7892669320106507,0.6488658785820007,0.42618894577026367,0.6783967566490173
sigma_delta_in_R_500,0.47882179021835325,0.24473054587841034,0.21423289477825164,0.24078294932842254,0.35290884852409365,0.5627671837806701,0.4699551284313202,0.3567317259311676,0.22637434124946593,0.19219778418540956,0.5670248413085938,0.09500622451305389,0.18761982262134552
ell_inj_I,2.378864135742187,1.6456249094009396,4.8970245933532714,0.5816926980018615,0.4354054903984069,0.7378614878654479,6.53251163482666,0.8455444574356079,4.0519576835632325,3.8761554622650145,2.648194484710693,1.803506269454956,0.3766487145423889
ell_inj_II,2.624072523117065,1.4410207843780516,7.059190788269043,1.1107193088531493,3.5441690826416012,0.8527295207977295,2.8465271282196043,0.5539000225067138,6.722729682922363,2.4431784820556635,4.12820743560791,4.413791046142578,3.6409972667694093
ell_inj_III,2.5717480850219725,1.6611331033706664,3.674575252532959,2.56526309967041,1.4119121360778808,5.81497329711914,1.495424599647522,1.2372565793991088,6.421485424041748,6.2694088745117185,5.27932014465332,2.5544324016571043,2.207424831390381
ell_inj_IV,6.39326898574829,0.15378910720348357,2.588682765960693,8.508165550231933,4.809181537628174,8.069593238830567,5.117557144165039,3.3436227035522457,0.7474151945114135,6.595521926879883,5.819190769195557,4.27553430557251,7.9749422454833985
ell_inj_in_R_500,0.5097581100463867,2.8912977027893065,0.706159815788269,0.9016437745094299,1.3103213214874267,7.95119571685791,5.81927604675293,0.4702280879020691,1.6554605674743652,2.980070943832397,7.846494312286377,1.7234568166732789,0.5349839162826538
alpha_I,5.2373018646240235,3.4389578533172607,3.7877976608276365,6.358203067779541,6.1387285804748535,6.111566486358642,4.272601890563965,6.298392601013184,6.612635345458984,4.043194217681885,6.372536468505859,4.014036464691162,4.426201801300049
alpha_II,5.201390628814697,6.668028793334961,5.098186645507813,6.711510181427002,6.193810443878173,6.1558381462097165,5.196440811157227,5.818669166564941,6.318329486846924,5.205879650115967,4.294459419250488,6.181029281616211,3.862331829071045
alpha_III,6.365686473846435,3.9895437145233155,4.528922920227051,6.282789344787598,4.720331745147705,4.129189281463623,5.932756118774414,5.116984233856201,6.179790573120117,3.3346823978424074,4.314311981201172,5.987888412475586,3.293224878311157
alpha_IV,5.832874317169189,6.426377449035645,6.341953811645507,4.200891418457031,5.531064491271972,5.447416839599609,4.039007759094238,2.98251651763916,5.9815511131286625,6.421331729888916,4.7330046653747555,6.354495220184326,2.9969127082824705
alpha_in_R_500,4.40480712890625,3.4552540588378906,3.564319086074829,4.576382217407226,4.723193988800049,3.4166945362091066,3.663999147415161,4.718111152648926,5.769744091033935,5.537681579589843,3.179741382598877,6.183789405822754,3.7953397750854494
sqrt_C_I,1.2900724554061889,1.0380023097991944,1.0343268585205079,1.0148112297058105,1.0223382472991944,1.0421718215942384,1.1456903886795045,1.2230232429504395,1.0974924182891845,1.0087717151641846,1.1287319993972778,1.041527214050293,1.0148130655288696
