,A1644,A1795,A2029,A2142,A2255,A2319,A3158,A3266,A644,A85,RXC1825,ZW1215,joint
sqrt_C_II,1.1357077503204345,1.0375913381576538,1.0092211961746216,1.0625346565246583,1.017174391746521,1.0599449586868286,1.0188532829284669,1.0964220476150512,1.0041043138504029,1.0203259897232055,1.1071133136749267,1.0149079465866089,1.0334924411773683
sqrt_C_III,1.0358445596694947,1.0863751792907714,1.033797059059143,1.0319396448135376,1.1517450714111328,1.063578462600708,1.0471793413162231,1.040796480178833,1.1655003547668457,1.0763315343856812,1.2290887832641602,1.0300542068481446,1.0334817600250243
sqrt_C_IV,1.8177200555801392,1.098391194343567,1.0879003429412841,1.2914596033096313,1.4609053182601925,1.1959415292739868,1.1943672943115233,1.4019592475891114,1.1547468948364257,1.2739474773406982,1.1920683145523072,1.0870312452316284,1.2083965396881104
sqrt_C_in_R_500,1.1087246322631836,1.0295110893249513,1.0226904249191284,1.0285798406600952,1.0604454469680786,1.1474784755706786,1.1049243593215943,1.0617238140106202,1.025302495956421,1.0183024978637696,1.1495726108551025,1.0045029401779175,1.0174484252929688
M_I,0.5138891172409058,0.17541874468326568,0.1670347887277603,0.10882183790206909,0.13391910612583158,0.1856788921356201,0.3519385290145874,0.44313318610191343,0.28685577392578127,0.08398351937532425,0.3319017446041107,0.18500116527080535,0.11051722079515457
M_II,0.33851245284080506,0.17465372323989867,0.08588222622871398,0.22722098529338836,0.1177480375766754,0.22300121903419493,0.12348966956138609,0.2863393115997314,0.05707304567098617,0.12859952569007874,0.29959413170814514,0.1099340683221817,0.1669674003124237
M_III,0.16994996547698973,0.268732248544693,0.16490085303783417,0.1608773624897003,0.3607020330429077,0.23018661737442017,0.19509736478328704,0.18274931013584136,0.37883634567260743,0.2516952991485596,0.45355115056037903,0.15531843781471252,0.16707229971885681
M_IV,0.9562756109237671,0.29289026379585265,0.2726917040348053,0.5172587013244628,0.6687049770355225,0.4149267721176147,0.4127685272693634,0.6206834721565246,0.3691478681564331,0.4963828361034393,0.4086350333690643,0.2690610349178314,0.43267624139785765
M_in_R_500,0.3041295051574707,0.15510871827602388,0.13545482754707336,0.15362344622612,0.2223988741636276,0.3572076463699341,0.29631991267204283,0.22842203319072724,0.14138260304927824,0.12187511593103409,0.35941174268722537,0.05986944988369941,0.1216921204328537
P_NTH/P_TOT_I,12.816417694091797,1.7072175931930542,1.5182300853729247,0.6623883271217346,0.9825936865806578,1.888542275428772,6.483711948394776,9.900658264160157,4.345616779327392,0.38787285327911375,5.696257171630858,1.860829997062683,0.6724285221099854
P_NTH/P_TOT_II,5.9711673545837405,1.663187732696533,0.4082967627048492,2.7826357460021973,0.7560075044631956,2.6755782413482665,0.8413259196281432,4.34841552734375,0.18265641391277312,0.906395480632782,4.792268867492676,0.6600639009475707,1.5320372343063355
P_NTH/P_TOT_III,1.597260684967041,3.81147385597229,1.4927850770950315,1.430517430305481,6.740296325683594,2.827077226638794,2.0889511013031004,1.833275694847107,7.3575044631958,3.385105762481689,10.141290435791015,1.3398385190963744,1.523102388381958
P_NTH/P_TOT_IV,34.01711395263671,4.540594062805176,3.9373651504516602,12.945741157531739,20.337120513916005,8.753084449768066,8.631046028137208,17.67570053100586,7.024853591918945,12.04531982421875,8.47663486480713,3.830491952896118,9.432168922424315
P_NTH/P_TOT_in_R_500,4.864317607879639,1.3262154722213746,1.020407042503357,1.2865416669845582,2.6927436542510983,6.599033775329589,4.641630458831787,2.8102079010009766,1.1080446577072143,0.8125273203849792,6.715062236785888,0.19994727313518523,0.8161073923110962
sqrt_C_I,1.2900724554061889,1.0380023097991944,1.0343268585205079,1.0148112297058105,1.0223382472991944,1.0421718215942384,1.1456903886795045,1.2230232429504395,1.0974924182891845,1.0087717151641846,1.1287319993972778,1.041527214050293,1.0148130655288696
sqrt_C_II,1.1357077503204345,1.0375913381576538,1.0092211961746216,1.0625346565246583,1.017174391746521,1.0599449586868286,1.0188532829284669,1.0964220476150512,1.0041043138504029,1.0203259897232055,1.1071133136749267,1.0149079465866089,1.0334924411773683
sqrt_C_III,1.0358445596694947,1.0863751792907714,1.033797059059143,1.0319396448135376,1.1517450714111328,1.063578462600708,1.0471793413162231,1.040796480178833,1.1655003547668457,1.0763315343856812,1.2290887832641602,1.0300542068481446,1.0334817600250243
sqrt_C_IV,1.8177200555801392,1.098391194343567,1.0879003429412841,1.2914596033096313,1.4609053182601925,1.1959415292739868,1.1943672943115233,1.4019592475891114,1.1547468948364257,1.2739474773406982,1.1920683145523072,1.0870312452316284,1.2083965396881104
sqrt_C_in_R_500,1.1087246322631836,1.0295110893249513,1.0226904249191284,1.0285798406600952,1.0604454469680786,1.1474784755706786,1.1049243593215943,1.0617238140106202,1.025302495956421,1.0183024978637696,1.1495726108551025,1.0045029401779175,1.0174484252929688
M_I,0.51430104970932,0.175739226937294,0.16700335919857023,0.10903486937284469,0.13433098316192627,0.18629601001739501,0.3516513752937317,0.44745049595832825,0.28483555555343626,0.08440372049808502,0.330477705001831,0.18421867728233338,0.11081601738929749
M_II,0.3399885189533234,0.17488782823085783,0.08608829855918884,0.2278106814622879,0.11759818494319915,0.2239787423610687,0.12348701149225234,0.2862962329387665,0.057148734927177425,0.12818263471126556,0.29945885062217714,0.11028855472803116,0.16751005947589875
M_III,0.17037033498287202,0.26831047773361205,0.1644978505373001,0.16095661640167236,0.3575398850440979,0.22988279044628143,0.19520048797130585,0.18196055233478547,0.37918607354164124,0.250394686460495,0.4487493336200714,0.1559394884109497,0.16716255187988283
M_IV,0.9609200811386108,0.2933942425251007,0.27142266869544984,0.5167248773574828,0.6791198921203613,0.4127148699760437,0.41333184838294984,0.6215883350372314,0.3693258035182953,0.49700590968132013,0.4110067510604858,0.26907485485076904,0.4330933511257172
M_in_R_500,0.30330748081207276,0.15497548639774322,0.13537142634391786,0.153288112282753,0.22297325432300566,0.35656502723693845,0.29524566769599914,0.22789590537548066,0.14202382326126098,0.12223508983850478,0.35899535536766053,0.05997233897447586,0.12163782179355621
P_NTH/P_TOT_I,12.860088386535644,1.7033791828155516,1.5368974685668946,0.6605612993240356,0.9723748421669006,1.8910888051986694,6.494101581573486,9.868983573913575,4.341505699157715,0.3890696012973785,5.662826385498047,1.8310933065414428,0.6767211127281189
P_NTH/P_TOT_II,5.985558929443359,1.6774632215499876,0.41071112871170046,2.776169271469116,0.7698682165145873,2.688334608078003,0.8349333047866819,4.371322269439697,0.18208742678165435,0.9089400506019593,4.772432670593262,0.6688956928253174,1.528777561187744
P_NTH/P_TOT_III,1.5954801273345944,3.8491734790801995,1.4848746728897095,1.4268727731704711,6.761344623565673,2.82986587524414,2.0836061668395995,1.813793110847473,7.428288707733153,3.3959976387023922,10.08427433013916,1.3367626810073852,1.5189286708831786
P_NTH/P_TOT_IV,33.734753570556634,4.5476720428466795,3.935256290435791,12.933020401000975,20.08320480346679,8.768433227539063,8.62537914276123,17.637115936279297,7.00552770614624,12.149430351257323,8.533637313842773,3.8556746768951418,9.451537971496583
P_NTH/P_TOT_in_R_500,4.846787929534912,1.319338412284851,1.0119396829605103,1.2883222007751465,2.668959798812866,6.615463676452637,4.645640335083007,2.812466888427734,1.1188296604156494,0.8167257189750671,6.679460239410401,0.20028315663337704,0.8158801269531251
