,A1644,A1795,A2029,A2142,A2255,A2319,A3158,A3266,A644,A85,RXC1825,ZW1215
log_10_n_e2,-3.9733196609877637,-3.5695396667939607,-3.227140705419463,-4.261776077890118,-6.056766717862218,-4.9718595519983735,-5.119875846849149,-5.598268456502522,-4.668942329548143,-3.2154314416672483,-5.461826969705631,-5.4287466545155345
log_10_r_c,-1.8822436317421587,-1.4710466963055884,-1.895878404969589,-1.269271453672209,-0.5074392171429999,-1.0251029386527464,-1.183788093973529,-0.9794793316971614,-1.0399137692154508,-1.9803157539064178,-1.3887604663749538,-0.9602679704054422
log_10_r_s$,-0.0054805175292248895,-0.22033079516330195,-0.9809639744082113,-0.07310991470881378,0.5567145200069099,0.016415688765833998,-0.5013143712796454,-0.19611334897197666,-0.06775313639196359,-0.6307430278128577,-0.5391164325411599,-0.2323418496222183
beta,0.3449945294682446,0.5035607156782208,0.3142941184340926,0.47766729736687485,0.6532291065983553,0.4633267217768125,0.2914610174022997,0.33298468243740836,0.573712507451387,0.35796168901819425,0.16524932225424618,0.4431637184403503
epsilon,4.561217182202162,2.3763551732021253,1.6692592996056315,4.9823643230999615,4.354898009169013,4.898084636791931,2.635672182937613,4.996409913618909,4.740965702345111,1.4013417659187852,3.088629854899441,4.1368917678108055
log_10_bkg,-6.985454600855325,-7.30030003062943,-7.322405660434999,-7.431335802496238,-7.455647049606972,-6.888858351641079,-7.404375237081025,-7.2173179755851224,-7.457057634806444,-8.240407702768254,-7.155716751078451,-7.510307503714865
theta,1.1970426074362843,-0.19237943944167307,-0.3430564120820574,0.8567205060755418,1.5182173016907168,0.45036118934504904,1.427373521929131,-1.1293266975037004,-0.19546917332949126,0.3600407968783745,1.57072335917246,-1.0829632566817478
e,0.43091186464536657,0.5808933214327695,0.614077171579746,0.7546100560203501,0.5693256519107873,0.6539042162555556,0.6440647340225345,0.583219526058178,0.6261820347779397,0.5110108044742675,0.6299307616244051,0.6427163942128609
x_c,0.008581752603250002,-0.00037468615097568616,-0.0001750943038930212,0.0035572513927424683,0.0009211497731531936,0.009682611213777784,-0.0013900404761871537,-0.011664460506980898,0.0021182641009306062,-0.000890941304386088,-0.006093477528310698,-2.7217362725381456e-05
y_c,-0.002362993816228197,0.006020433661701771,0.0009226509767896563,0.005014528928447085,0.001369361893842986,0.018104436093309063,-0.0018234550231611747,0.008275089037234147,-0.013769556422070393,-0.00044078872886362794,0.004564170798708286,0.004338380614363845
