,A1644,A1795,A2029,A2142,A2255,A2319,A3158,A3266,A644,A85,RXC1825,ZW1215,joint
P_NTH/P_TOT_IV,10.744443416595459,3.792471408843994,2.3620846271514893,6.621576547622681,1.0955610871315002,4.20674467086792,4.149869680404663,11.52242660522461,4.798407077789307,3.5428359508514404,3.3207218647003174,1.4022000432014465,7.172793865203857
P_NTH/P_TOT_in_R_500,2.8925929069519043,0.8084777891635895,0.4510437697172165,0.789063423871994,0.6624954044818878,4.048437118530273,1.723416268825531,2.141510248184204,0.45417773723602295,0.4384591281414032,3.5776097774505615,0.08955975621938705,0.6977875232696533
sqrt_C_I,1.1365209817886353,1.0196148753166199,1.0151601433753967,1.0073004364967346,1.0015909671783447,1.0187600255012512,1.03732568025589,1.0859820246696472,1.0317270159721375,1.0043970346450806,1.0390086770057678,1.001466453075409,1.0121374130249023
sqrt_C_II,1.0462645888328552,1.0155388116836548,1.0042616128921509,1.0278539061546326,1.0013299584388733,1.0357686281204224,1.0055238604545593,1.0632157921791077,1.0018324851989746,1.0115599632263184,1.0468581318855286,1.0051921010017395,1.0272105932235718
sqrt_C_III,1.0160890221595764,1.0233723521232605,1.008700668811798,1.0162809491157532,1.0037224292755127,1.0361339449882507,1.0220444202423096,1.0262237191200256,1.0503367185592651,1.0387631058692932,1.03960120677948,1.0153708457946777,1.027069866657257
sqrt_C_IV,1.2425499558448792,1.0862885117530823,1.0535622239112854,1.1491065621376038,1.0253602266311646,1.0950574278831482,1.0946012139320374,1.2633000016212463,1.1092587113380432,1.0799424648284912,1.0746756792068481,1.0315924882888794,1.1628338098526
sqrt_C_in_R_500,1.0659624338150024,1.0183290839195251,1.010206401348114,1.0177637338638306,1.0148006081581116,1.0906871557235718,1.0393315553665161,1.0485816597938538,1.0101902484893799,1.0100067257881165,1.0813996195793152,1.002031683921814,1.0158143043518066
M_I,0.3406399339437485,0.12527847290039062,0.11006345599889755,0.07629852369427681,0.035569509491324425,0.1231103427708149,0.17319469153881073,0.26583607494831085,0.15974705666303635,0.05918724276125431,0.1766880303621292,0.034305350854992867,0.09829549118876457
M_II,0.19371075928211212,0.11133818328380585,0.05804741568863392,0.1501152589917183,0.032432155683636665,0.16980968415737152,0.06617666780948639,0.22814743965864182,0.037994176149368286,0.09633762016892433,0.19486432522535324,0.06409727782011032,0.14752373099327087
M_III,0.1132110208272934,0.13671541213989258,0.0833575464785099,0.11416381970047951,0.05481080524623394,0.17055899649858475,0.13300671428442,0.14515825361013412,0.2019437476992607,0.17694757133722305,0.17918819934129715,0.11083503440022469,0.14742860943078995
M_IV,0.46592776477336884,0.26701006293296814,0.2087710052728653,0.3558134287595749,0.14110364019870758,0.2806813418865204,0.28055043518543243,0.485271617770195,0.3022490292787552,0.2582489550113678,0.2476091980934143,0.15936139225959778,0.3737673759460449
M_in_R_500,0.2315787896513939,0.1209493950009346,0.09010468423366547,0.11958622187376022,0.10930527374148369,0.274579256772995,0.17741627246141434,0.1984092891216278,0.09075900539755821,0.08914085105061531,0.2587960362434387,0.040182679891586304,0.11244162917137146
P_NTH/P_TOT_I,6.031865835189819,0.867391049861908,0.6665085256099701,0.3230779618024826,0.07036926224827766,0.8295859694480896,1.6342077255249023,3.798343062400818,1.3871641159057617,0.19454695284366608,1.7209995985031128,0.06463691592216492,0.5372418761253357
P_NTH/P_TOT_II,2.0255461931228638,0.6878233551979065,0.18872734159231186,1.2268472909927368,0.05856352858245373,1.587946891784668,0.24341855198144913,2.8120317459106445,0.08049618825316429,0.5124794244766235,2.0501160621643066,0.2262321040034294,1.195618748664856
P_NTH/P_TOT_III,0.7110177874565125,1.0387191772460938,0.3826438784599304,0.7210865914821625,0.1636737734079361,1.5812875032424927,0.9755005240440369,1.1584069728851318,2.2145297527313232,1.714393436908722,1.7563031315803528,0.6753343641757965,1.190376341342926
P_NTH/P_TOT_IV,10.77137804031372,3.7963929176330566,2.3523147106170654,6.576435565948486,1.132799208164215,4.18627667427063,4.189249515533447,11.64724588394165,4.802342176437378,3.521325707435608,3.321208119392395,1.388214111328125,7.188298940658569
P_NTH/P_TOT_in_R_500,2.9161278009414673,0.807201474905014,0.44914668798446655,0.7864106595516205,0.6586037278175354,4.034524917602539,1.7189439535140991,2.145607590675354,0.45300740003585815,0.43925248086452484,3.5860899686813354,0.08916006237268448,0.6975569427013397
