,c,w,G,Cz,log_sigma_abs_0_1,log_inj_abs_0_1,alpha_abs_0_1
c,1.0,-0.5866428,0.8993502,-0.22593863,-0.25503343,0.09548719,0.13914703
w,-0.5866428,1.0,-0.4913635,0.4523334,0.5731345,0.378035,0.26403588
G,0.8993502,-0.4913635,1.0,-0.19266458,-0.35312346,0.0048212004,0.16377999
Cz,-0.22593863,0.4523334,-0.19266458,1.0,0.6724727,0.3840459,0.21308705
log_sigma_abs_0_1,-0.25503343,0.5731345,-0.35312346,0.6724727,1.0,0.7385823,-0.2271353
log_inj_abs_0_1,0.09548719,0.378035,0.0048212004,0.3840459,0.7385823,1.0,-0.23804207
alpha_abs_0_1,0.13914703,0.26403588,0.16378,0.21308705,-0.2271353,-0.23804207,1.0
