,c,w,G,Cz,log_sigma_abs_0_1,log_inj_abs_0_1,alpha_abs_0_1
c,0.99999994,-0.591634,0.8929689,-0.2536964,-0.55139095,-0.27468362,-0.32524145
w,-0.591634,0.9999999,-0.5033453,0.42091408,0.19227727,-0.05225558,-0.14984967
G,0.8929689,-0.5033453,0.99999994,-0.21840797,-0.6365829,-0.5057212,-0.2327519
Cz,-0.2536964,0.42091408,-0.21840797,0.99999994,0.24032615,-0.076793574,-0.22976775
log_sigma_abs_0_1,-0.55139095,0.19227727,-0.6365829,0.24032615,0.99999994,0.26308808,-0.59049696
log_inj_abs_0_1,-0.27468362,-0.05225558,-0.5057212,-0.076793574,0.26308808,0.99999994,-0.53563195
alpha_abs_0_1,-0.32524145,-0.14984967,-0.23275188,-0.22976775,-0.59049696,-0.53563195,0.99999994
